sermon_id,livro,capitulo_inicio,versiculo_inicio,capitulo_fim,versiculo_fim,justificativa
1519140202,Gênesis,2,18,2,25,O pregador anuncia que fará uma exposição de Gênesis 2:18–25 e lê esse texto sobre a criação do primeiro casamento.
1971226727,,,,,,"A aula é sobre o capítulo 8 da Confissão de Fé de Westminster, “Cristo, o Mediador”, e apenas cita diversos textos bíblicos como apoio, sem anunciar uma passagem principal para exposição."
768761029,,,,,,"A aula trata tematicamente das funções dos diáconos e cita Atos 6 e 1 Timóteo 3, mas não anuncia nem expõe uma passagem principal específica."
1574521825,Mateus,20,25,20,28,O pregador anuncia que introduzirá a aula lendo Mateus 20:25-28 e lê esse trecho sobre Jesus e o serviço.
1256018542,Neemias,8,1,8,12,"O professor anuncia Neemias 8, diz que lerá até o versículo 12 e desenvolve a exposição a partir desse texto."
1929151187,Gênesis,40,,,,"O pregador anuncia que meditará em Gênesis, capítulo 40, pede que a passagem seja aberta e começa a expor o capítulo inteiro."
1281227713,Malaquias,3,6,3,6,"O pregador anuncia a leitura de Malaquias 3:6 e expõe a declaração: “porque eu, o Senhor, não mudo”, como fundamento da imutabilidade de Deus."
1926048176,Gênesis,3,1,3,13,"O pregador anuncia que estudará Gênesis 3 até o versículo 13, tratando da queda, da nudez e da vergonha; o versículo 21 será apenas consultado rapidamente."
1256014006,Atos,2,42,2,47,"O pregador convida a igreja a abrir em Atos 2:42-47, lê o trecho e afirma que destacará princípios evidentes nesse texto."
732123319,,,,,,"A transcrição apresenta uma aula prática sobre o quarto mandamento, com várias citações bíblicas incidentais, mas não anuncia nem expõe uma passagem principal específica."
1142769673,1 Timóteo,3,2,3,2,O professor retoma 1 Timóteo 3:2 e expõe a exigência de que o presbítero seja hospitaleiro.
929785990,Ageu,2,1,,,"O pregador anuncia explicitamente: “Ageu, capítulo 2, a partir do verso 1º”, para tratar da reconstrução e da glória do templo."
1210550542,Salmos,139,7,139,10,"O pregador anuncia explicitamente o Salmo 139, versículos 7 a 10, como a passagem por excelência sobre a onipresença de Deus, e o lê em seguida."
1971239723,,,,,,"A transcrição é uma aula da Confissão de Fé de Westminster sobre Cristo, o Mediador; as passagens bíblicas mencionadas são usadas apenas como citações de apoio, sem um texto principal anunciado ou exposto."
1820311581,,,,,,"A aula expõe o capítulo 1 da Confissão de Fé de Westminster sobre as Sagradas Escrituras, usando várias passagens bíblicas apenas como apoio."
768713350,,,,,,"O início apresenta uma aula temática sobre educação cristã, coração e idolatria, sem anunciar, ler ou expor uma passagem bíblica principal."
1179289150,João,4,24,4,24,O pregador pede que abram em João 4:24 e lê: “Deus é espírito e importa que seus adoradores o adorem em espírito e em verdade”.
1268800444,,,,,,"A aula trata do atributo da bondade de Deus e cita várias passagens (como Salmos 34, 100, 106 e 145), mas não anuncia nem desenvolve uma única passagem principal."
1938323714,,,,,,"A aula é sobre o capítulo 5 da Confissão de Fé de Westminster, “Da providência”; as passagens de Gênesis 40, Rute 2, 1 Reis 22 e Deuteronômio 19 são apenas citadas como exemplos."
1268804893,,,,,,"É uma aula temática de EBD sobre o atributo do amor de Deus, que percorre várias passagens do Novo Testamento, sem anunciar um texto principal único."
1517268160,Neemias,8,,,,"O pregador anuncia que vai ler e expor Neemias capítulo 8, destacando a liderança e o ensino da Palavra na unidade da igreja."
1645802787,,,,,,"A transcrição é uma introdução doutrinária sobre a teologia das alianças; Gênesis 15 e Gênesis 2:17 são apenas citados como exemplos, sem serem anunciados ou expostos como texto principal."
1861343481,Deuteronômio,29,29,29,29,"O professor anuncia que a aula começa com Deuteronômio 29:29, lê o versículo e o usa para distinguir entre as coisas encobertas e as reveladas no problema do mal."
1176335227,,,,,,"O início apresenta uma aula temática sobre os atributos de Deus, especialmente a autoexistência, citando Isaías apenas como referência geral, sem anunciar ou expor uma passagem principal."
1674375114,1 Tessalonicenses,4,13,5,11,"O pregador anuncia 1 Tessalonicenses 4:18 e 5:11 como o mandamento principal, e expõe seus contextos, especialmente 4:13-17 e 5:1-11."
1291214050,Romanos,1,18,1,18,"O pregador anuncia: “Vamos abrir lá em Romanos 1,18” e passa a expor a afirmação de que a ira de Deus se revela contra a impiedade humana."
1176584521,,,,,,"A transcrição apresenta uma aula da EBD sobre o atributo da soberania de Deus, sem anunciar ou expor uma passagem bíblica principal."
1971209091,2 Reis,25,8,25,13,O pregador pediu que a igreja abrisse em 2 Reis 25:8 e leu os versículos 8 a 13 como ponto de partida para o panorama do Livro dos Reis.
958250851,,,,,,"A aula trata de liberdade de expressão e crença religiosa sob perspectivas jurídicas e doutrinárias, sem anunciar ou expor uma passagem bíblica principal; Levítico e Romanos são apenas citados incidentalmente."
1221420628,,,,,,"A transcrição apresenta uma aula sobre o atributo da onipotência de Deus com base na Confissão e no Catecismo de Westminster, sem anunciar ou expor uma passagem bíblica principal."
1646457042,Romanos,5,12,5,21,"O pregador interrompe a exposição em Lucas, anuncia Romanos capítulo 5 e lê explicitamente os versículos 12 a 21 sobre Adão e Cristo."
1646774532,,,,,,"É uma palestra temática sobre o Evangelho de Mateus e o cumprimento das alianças, com várias citações e referências (como Mateus 1:1 e 4:12-17 e Isaías 9:1-2), mas sem uma passagem principal claramente anunciada para exposição."
1855440861,,,,,,"O sermão anuncia e expõe o inciso 3 do capítulo 2 da Confissão de Fé de Westminster, sobre a Santíssima Trindade; as passagens bíblicas citadas são apenas textos de apoio."
1971248099,,,,,,"A aula expõe o capítulo 9 da Confissão de Fé de Westminster sobre o livre-arbítrio, usando Mateus, Tiago e Jeremias apenas como citações de apoio, sem anunciar uma passagem bíblica principal."
1646234136,Gênesis,9,8,9,17,"O pregador anuncia explicitamente “Gênesis 9, de 8 a 17” e lê esse trecho ao expor a aliança da preservação com Noé."
1176590620,,,,,,"A transcrição apresenta uma aula sobre a santidade de Deus, sem anunciar, ler ou expor uma passagem bíblica principal; as referências à Escritura são apenas incidentais."
1350778393,Hebreus,10,19,10,25,"O pregador anuncia, lê e expõe Hebreus 10:19-25, continuando especialmente a exposição dos versículos 23 a 25."
1855434897,,,,,,A aula anuncia que exporá o inciso 2 do capítulo 2 da Confissão de Fé de Westminster sobre a autossuficiência de Deus; as passagens bíblicas citadas são apenas textos de apoio.
1350463276,Hebreus,10,19,10,25,"O pregador anuncia e lê em voz alta Hebreus 10:19-25, dizendo que fará a exposição dos versos 19 a 25."
1830909057,,,,,,"A aula expõe o capítulo 2 da Confissão de Fé de Westminster, “De Deus e da Santíssima Trindade”, citando diversos textos bíblicos apenas como apoio, sem anunciar uma passagem principal."
1350283645,Lucas,4,1,4,13,"O pregador anuncia e lê Lucas 4:1–13, a narrativa da tentação de Jesus, e mantém essa passagem como o texto principal da exposição."
1929127214,,,,,,"A aula anuncia a exposição dos incisos 1 e 2 do capítulo 7 da Confissão de Fé de Westminster, sobre o pacto de obras, e as passagens bíblicas são citadas apenas como apoio."
1420250629,,,,,,"O início apresenta um estudo temático sobre Sola Scriptura e cita várias passagens incidentalmente, sem anunciar ou expor uma passagem bíblica principal."
1929130661,,,,,,"A aula é sobre o capítulo 7 da Confissão de Fé de Westminster e expõe o pacto de Deus, usando Êxodo 2:24 e 2 Samuel 7:8-16 apenas como exemplos, não como passagem principal."
1170142129,Êxodo,21,1,21,11,O pregador anuncia Êxodo capítulo 21 e lê explicitamente os versículos 1 a 11 como o texto da exposição.
1837930761,,,,,,"O sermão é uma aula sobre a Confissão de Fé de Westminster, seção “De Deus e da Santíssima Trindade II”, e as passagens bíblicas mencionadas servem apenas como textos-prova dos atributos de Deus."
1170141526,Êxodo,20,1,20,2,"O pregador anuncia “Êxodo 20, versículos 1 e 2” e lê esses versículos como base da exposição sobre a lei moral e os Dez Mandamentos."
1349931310,Isaías,9,6,9,6,"O pregador pediu que a igreja abrisse em Isaías 9:6, leu o versículo e destacou o título de Jesus como “Maravilhoso Conselheiro”."
2269875407,Efésios,6,10,6,20,"O pregador convida a abrir em Efésios 6:10, anuncia que lerá até o versículo 20 e expõe o texto sobre a armadura de Deus."
2028129428,,,,,,"A aula retoma o capítulo 20 da Confissão de Fé de Westminster sobre liberdade cristã e liberdade de consciência, usando apenas referências bíblicas incidentais."
2293691186,2 Coríntios,10,4,10,6,"A aula começa com a leitura anunciada de 2 Coríntios 10:4-6, apresentada como a palavra do Senhor."
2121601809,Hebreus,12,4,12,13,"O pregador pede que a igreja abra em Hebreus 12, versículo 4, lê e medita sobre a disciplina divina até a exortação de restabelecer as mãos descaídas e os joelhos trôpegos."
2150987076,,,,,,"A aula trata do plano de Deus para a humanidade e da doutrina da glorificação, no contexto da Confissão de Fé de Westminster; Salmo 19, Isaías 6, Êxodo 40 e outras passagens são apenas citadas como apoio."
2051377792,Mateus,12,1,12,8,"O pregador anuncia explicitamente: “Texto de Mateus, capítulo 12, os versos de 1 a 8” e expõe essa passagem sobre o sábado."
2002812519,,,,,,"O início anuncia uma aula sobre o capítulo 16 da Confissão de Fé de Westminster, “Das Boas Obras”, usando diversos textos bíblicos apenas como referências."
2098806738,,,,,,"A aula anuncia e expõe o capítulo 27 da Confissão de Fé de Westminster sobre os sacramentos, não uma passagem bíblica principal."
2165791422,Hebreus,11,,,,O pregador pediu que deixassem a Bíblia aberta em Hebreus 11 e anunciou: “Hoje à noite eu vou tratar de Hebreus 11”.
2166230130,Ezequiel,33,,33,,"O pregador anuncia: “Ezequiel, capítulo 33”, diz que a passagem é longa e começa a ler desde o versículo 1."
2126315136,,,,,,"É uma aula temática sobre a diaconia e o serviço de toda a igreja, organizada em três áreas e apoiada em várias passagens, sem um texto principal único."
2082719532,Romanos,13,1,13,4,"O pregador anuncia Romanos 13 e lê os versículos 1 a 4 sobre a autoridade civil instituída por Deus, sua função de promover o bem e punir o mal."
2269893431,João,4,35,4,35,"A aula começa com a leitura de João 4:35, sobre erguer os olhos e ver os campos prontos para a ceifa, relacionando o texto à viagem missionária."
2166582093,,,,,,"O início apresenta o tema das estratégias para viver a cidadania celestial e apenas relembra incidentalmente Ezequiel 33, sem anunciar ou expor uma passagem principal."
2293717964,Romanos,1,18,1,21,O pregador anuncia Romanos 1 e lê em voz alta os versículos 18 a 21 como texto de abertura.
2051387756,,,,,,"A transcrição anuncia uma aula sobre o capítulo 18 da Confissão de Fé de Westminster, tratando doutrinariamente da certeza da graça e da salvação, sem indicar uma passagem bíblica principal."
2039084780,,,,,,"É uma aula sobre o capítulo 21 da Confissão de Fé de Westminster, com várias passagens bíblicas citadas apenas como apoio, sem um texto principal anunciado para exposição."
2122341177,1 Coríntios,5,,,,"O pregador anuncia 1 Coríntios capítulo 5, pede que a igreja abra o texto e afirma que vai ler todo o capítulo, expondo-o sobre a disciplina eclesiástica."
1987384315,,,,,,"A aula anuncia e expõe o capítulo 14 da Confissão de Fé de Westminster, sobre a fé salvadora, usando diversas passagens bíblicas apenas como apoio."
2218486739,Romanos,4,1,4,12,"O professor anuncia que vai ler e refletir sobre Romanos 4, citando e expondo especialmente os versículos 1 a 12 sobre a fé de Abraão e a circuncisão como selo da justiça."
2151670083,,,,,,"A aula é sobre o capítulo 32 da Confissão de Fé de Westminster e trata doutrinariamente do estado após a morte e da ressurreição, sem anunciar ou expor uma passagem bíblica principal."
2013953571,,,,,,"É uma aula sobre o capítulo 17 da Confissão de Fé de Westminster, “Da Perseverança dos Santos”, sem anunciar ou expor uma passagem bíblica principal; Isaías 55:6 é citado apenas incidentalmente."
2109763098,,,,,,"A aula é sobre o capítulo 24 da Confissão de Fé de Westminster, “Do Matrimônio e do Divórcio”; Efésios 5:22-30 e Gênesis 2:24 aparecem apenas como textos de apoio."
2267738624,,,,,,"A aula é temática sobre Paulo e evangelismo e desenvolve várias passagens de Filipenses, 2 Timóteo, 1 Coríntios e Atos, sem anunciar ou expor um texto principal único."
2177698323,Levítico,11,,,,"O pregador anuncia que começará pelo livro de Levítico e expõe o capítulo 11, especialmente suas leis sobre pureza e impureza."
1987697979,,,,,,"A aula é um estudo das duas últimas sessões do capítulo 14 da Confissão de Fé de Westminster sobre a fé salvadora, usando diversas citações bíblicas apenas como apoio."
2297039825,3 João,1,8,,,"O pregador afirma explicitamente que o texto-base da aula é 3 João 1:8, sobre apoiar os missionários."
2129403540,,,,,,"É uma aula sobre o capítulo 31 da Confissão de Fé de Westminster, e Atos 15:1-6 e Tito 1:5 aparecem apenas como textos de apoio, sem uma passagem principal sendo exposta."
2068004408,Mateus,5,33,5,37,O pregador anuncia: “Abram suas Bíblias em Mateus capítulo 5” e diz que lerá e analisará os versículos 33 a 37 sobre os juramentos.
2039261060,João,4,23,4,24,O pregador anuncia explicitamente João 4:23-24 como o texto-chave e lê a declaração de Jesus sobre adorar o Pai em espírito e em verdade.
2155492935,,,,,,"A aula expõe o capítulo 33 da Confissão de Fé de Westminster e apenas cita várias passagens, como Joel 2, Salmo 50 e Sofonias 1, sem anunciar um texto bíblico principal."
2221536488,1 Pedro,3,20,3,22,"O pregador lê e expõe 1 Pedro 3:20-22, relacionando o dilúvio de Noé ao batismo como apelo por uma boa consciência."
2025323328,,,,,,"A aula anuncia explicitamente que dará sequência ao capítulo 19 da Confissão de Fé de Westminster sobre a lei de Deus, sem anunciar uma passagem bíblica principal para exposição."
2107309704,,,,,,"A transcrição apresenta uma aula sobre o capítulo 26 da Confissão de Fé de Westminster, “Da Comunhão dos Santos”, usando vários versículos apenas como apoio, sem anunciar ou expor uma passagem bíblica principal."
2268513059,1 Pedro,2,9,2,9,"O pregador anuncia e lê 1 Pedro 2:9, usando o versículo para expor que a proclamação das virtudes de Deus é propósito da redenção e motivação suprema do evangelismo."
2082740580,Deuteronômio,17,14,17,20,"O pregador anuncia Deuteronômio 17:14 e expõe a seção sobre o rei de Israel, incluindo suas restrições e sua submissão à Lei."
1992129555,,,,,,"A aula anuncia e expõe o capítulo 15 da Confissão de Fé de Westminster sobre o arrependimento para a vida, sem indicar uma passagem bíblica principal."
2125398285,Atos,6,1,6,6,"O pregador convida a igreja a abrir em Atos 6 e lê o texto dos versículos 1 a 6, apresentando-o como o texto clássico sobre a origem da diaconia."
2133462618,,,,,,"É uma aula da EBD sobre os capítulos 32 e 33 da Confissão de Fé de Westminster e sobre o plano de Deus para a humanidade; Gênesis 1 é apenas citado como apoio, não apresentado como passagem principal."
2186621798,Salmos,51,,,,"O pregador anuncia que examinará o Salmo 51, pede que a igreja o abra e expõe seus versículos como uma das passagens principais sobre a purificação do coração."
2109763392,,,,,,"O conteúdo é uma aula sobre o capítulo 25 da Confissão de Fé de Westminster, tratando da doutrina da Igreja, sem anunciar uma passagem bíblica principal."
2158737579,,,,,,"O sermão é uma aula sobre a seção 2 da Confissão de Fé de Westminster, tratando doutrinariamente do juízo final; Romanos 9, Efésios 2 e Romanos 2 são citados apenas como passagens de apoio."
2358906275,,,,,,"É uma aula temática sobre a história bíblica das missões, com vários textos citados, mas sem uma passagem principal anunciada ou exposta."
2042875164,Levítico,10,1,10,2,"O pregador anuncia Levítico 10:1-2 como um dos textos-chave, lê o relato de Nadabe e Abiú e o expõe em relação ao culto."
2139284433,,,,,,"A aula expõe a doutrina da graça dentro do plano de Deus para a humanidade e os capítulos finais da Confissão de Fé de Westminster, sem anunciar ou expor uma passagem bíblica principal."
2002797083,,,,,,A aula expõe o capítulo 10 da Confissão de Fé de Westminster sobre a vocação eficaz; 1 Coríntios 1:20-25 aparece apenas como uma das citações bíblicas usadas.
2086853619,,,,,,"A transcrição apresenta uma aula sobre o capítulo 23 da Confissão de Fé de Westminster, sem anunciar ou expor uma passagem bíblica principal; Gênesis 9 é mencionado apenas como texto da pregação da noite."
2125403148,1 Timóteo,3,8,3,13,"O pregador anuncia 1 Timóteo 3 como o texto clássico sobre as qualificações dos diáconos e inicia a exposição no versículo 8, seguindo até a promessa do versículo 13."
2055753816,1 Tessalonicenses,4,1,4,8,"A pregadora anuncia que vai ler e explicar 1 Tessalonicenses 4:1-8, sobre santificação e pecados sexuais."
2055760664,Tito,2,3,2,5,"A pregadora anuncia explicitamente que vai ler Tito 2, versos 3 a 5, e lê esse trecho como fundamento da exposição sobre o papel da mulher."
2068812956,,,,,,"O sermão é uma aula sobre o capítulo 22 da Confissão de Fé de Westminster, tratando dos votos, e apenas cita várias passagens bíblicas de apoio sem anunciar uma passagem principal."
