[00:00:00.000 --> 00:00:00.360]   Música
[00:04:33.100 --> 00:04:34.140]   Em Cristo Jesus
[00:04:34.140 --> 00:04:36.160]   Isso significa que as
[00:04:36.160 --> 00:04:38.220]   Exigências
[00:04:38.220 --> 00:04:39.060]   Da lei
[00:04:39.060 --> 00:04:41.320]   Não são requeridas
[00:04:41.320 --> 00:04:42.220]   Para a nossa salvação
[00:04:42.220 --> 00:04:43.560]   Porque pensa só
[00:04:43.560 --> 00:04:44.480]   A ideia da lei
[00:04:44.480 --> 00:04:45.040]   No de Gataçamento
[00:04:45.040 --> 00:04:45.660]   É o seguinte
[00:04:45.660 --> 00:04:47.560]   Você deve me obedecer
[00:04:47.560 --> 00:04:48.800]   Deus exigia
[00:04:48.800 --> 00:04:49.960]   Que as leis fossem obedecidas
[00:04:49.960 --> 00:04:51.140]   Para ter um relacionamento
[00:04:51.140 --> 00:04:51.540]   Com o povo
[00:04:51.540 --> 00:04:53.480]   Só que o que era exigido
[00:04:53.480 --> 00:04:54.600]   Que você cumprisse
[00:04:54.600 --> 00:04:56.820]   50, 60, 70%
[00:04:56.820 --> 00:04:57.360]   Das leis
[00:04:57.360 --> 00:04:58.960]   A exigência
[00:04:58.960 --> 00:05:00.060]   Para você ter um relacionamento
[00:05:00.060 --> 00:05:00.340]   Com Deus
[00:05:00.340 --> 00:05:01.220]   É que as leis
[00:05:01.220 --> 00:05:01.960]   Fossem cumpridas
[00:05:01.960 --> 00:05:03.600]   Perfeitamente
[00:05:03.600 --> 00:05:04.940]   Se você descumprir
[00:05:04.940 --> 00:05:05.580]   Uma só
[00:05:05.580 --> 00:05:06.800]   Já não vale
[00:05:06.800 --> 00:05:07.360]   Já não serve
[00:05:07.360 --> 00:05:07.660]   Será
[00:05:07.660 --> 00:05:08.860]   Condenado
[00:05:08.860 --> 00:05:10.820]   O ponto em Gataçamento
[00:05:10.820 --> 00:05:11.500]   Um dos pontos que Paulo
[00:05:11.500 --> 00:05:12.440]   estabelece é exatamente isso
[00:05:12.440 --> 00:05:13.560]   Se for pela lei
[00:05:13.560 --> 00:05:14.620]   Se for pelo cumprimento de lei
[00:05:14.620 --> 00:05:15.780]   Então você tem que cumprir todas
[00:05:15.780 --> 00:05:17.320]   Se Paulo só cumprir
[00:05:17.320 --> 00:05:17.880]   Essa circuncisão
[00:05:17.880 --> 00:05:19.320]   Tem que cumprir tudo
[00:05:19.320 --> 00:05:21.740]   E ao entender
[00:05:21.740 --> 00:05:22.380]   Que tem que cumprir tudo
[00:05:22.380 --> 00:05:23.180]   Ele vai mostrar também
[00:05:23.180 --> 00:05:23.900]   Que isto
[00:05:23.900 --> 00:05:25.320]   Não é possível
[00:05:25.320 --> 00:05:26.020]   Nós não temos
[00:05:26.020 --> 00:05:26.700]   Essas condições
[00:05:26.700 --> 00:05:27.720]   A salvação
[00:05:27.720 --> 00:05:28.580]   Não nos é dada
[00:05:28.580 --> 00:05:30.420]   Pelo cumprimento
[00:05:30.420 --> 00:05:31.200]   Da lei
[00:05:31.200 --> 00:05:32.300]   Mas pela graça
[00:05:32.300 --> 00:05:33.060]   Que ele cumpre em Cristo
[00:05:33.060 --> 00:05:33.640]   Ele cumprir
[00:05:33.640 --> 00:05:35.520]   Nós temos acesso
[00:05:35.520 --> 00:05:36.420]   Ou nós somos salvos
[00:05:36.420 --> 00:05:37.360]   Pela fé
[00:05:37.360 --> 00:05:38.840]   Naquilo que Cristo fez
[00:05:38.840 --> 00:05:40.180]   E é nesse sentido
[00:05:40.180 --> 00:05:41.120]   Então que Paulo vai falar
[00:05:41.120 --> 00:05:41.600]   Lá em Galácia
[00:05:41.600 --> 00:05:42.880]   2.19
[00:05:42.880 --> 00:05:43.680]   Assim
[00:05:43.680 --> 00:05:44.280]   Morrer
[00:05:44.280 --> 00:05:45.540]   Para a lei
[00:05:45.540 --> 00:05:46.940]   O que ele quer dizer com isso?
[00:05:46.940 --> 00:05:47.560]   Que a lei agora
[00:05:47.560 --> 00:05:48.140]   Não tem importância
[00:05:48.140 --> 00:05:48.500]   Porque a gente
[00:05:48.500 --> 00:05:49.220]   Não precisa se preocupar
[00:05:49.220 --> 00:05:50.140]   Escolhar os esmalamentos
[00:05:50.140 --> 00:05:51.240]   Igual vamos dizer
[00:05:51.240 --> 00:05:51.960]   A lei é coisa
[00:05:51.960 --> 00:05:52.460]   Não tinha que pensar
[00:05:52.460 --> 00:05:52.640]   Nem
[00:05:52.640 --> 00:05:54.300]   Óbvio que Paulo só quer dizer isso
[00:05:54.300 --> 00:05:54.680]   Quando ele fala
[00:05:54.680 --> 00:05:55.600]   Morreu para a lei
[00:05:55.600 --> 00:05:56.640]   É nesse sentido
[00:05:56.640 --> 00:05:58.380]   Dessa necessidade
[00:05:58.380 --> 00:05:58.860]   De você
[00:05:58.860 --> 00:06:00.640]   Cumprir a lei
[00:06:00.640 --> 00:06:01.900]   Para alcançar a salvação
[00:06:01.900 --> 00:06:03.100]   Não é isso
[00:06:03.100 --> 00:06:03.760]   Que nos salva
[00:06:03.760 --> 00:06:04.760]   O que nos salva?
[00:06:04.760 --> 00:06:05.800]   A fé em Jesus
[00:06:05.800 --> 00:06:06.920]   Aquele que cumpriu
[00:06:06.920 --> 00:06:07.980]   Em nosso lugar
[00:06:07.980 --> 00:06:09.600]   Agora o terceiro ponto
[00:06:09.600 --> 00:06:10.320]   Sobre esse assunto
[00:06:10.320 --> 00:06:12.460]   Sempre foi assim
[00:06:12.460 --> 00:06:14.120]   Mesmo
[00:06:14.120 --> 00:06:16.160]   Os cristãos
[00:06:16.160 --> 00:06:17.480]   Ou os salvos
[00:06:17.480 --> 00:06:17.980]   Os fiéis
[00:06:17.980 --> 00:06:18.760]   No antigo testamento
[00:06:18.760 --> 00:06:20.600]   Não eram salvos
[00:06:20.600 --> 00:06:21.820]   Pelo cumprimento da lei
[00:06:21.820 --> 00:06:22.660]   Ninguém foi salvo
[00:06:22.660 --> 00:06:23.400]   Pelo cumprimento da lei
[00:06:23.400 --> 00:06:24.440]   O único homem
[00:06:24.440 --> 00:06:25.160]   Na paz da terra
[00:06:25.160 --> 00:06:25.700]   Que cumpriu
[00:06:25.700 --> 00:06:26.660]   Perfeitamente a lei
[00:06:26.660 --> 00:06:28.460]   Foi condenado
[00:06:28.460 --> 00:06:29.520]   Em nosso lugar
[00:06:29.520 --> 00:06:30.260]   Jesus
[00:06:30.260 --> 00:06:32.820]   Todos os santos
[00:06:32.820 --> 00:06:33.640]   Do antigo testamento
[00:06:33.640 --> 00:06:35.180]   Se fosse através da lei
[00:06:35.180 --> 00:06:35.780]   Igual vamos falar
[00:06:35.780 --> 00:06:36.380]   Antigo testamento
[00:06:36.380 --> 00:06:36.800]   Era da lei
[00:06:36.800 --> 00:06:37.280]   Agora da graça
[00:06:37.280 --> 00:06:38.440]   Se fosse exatamente assim
[00:06:38.440 --> 00:06:39.700]   Todos os antigos testamentos
[00:06:39.700 --> 00:06:41.560]   Teriam sido condenados
[00:06:41.560 --> 00:06:42.980]   Como que eles foram salvos?
[00:06:42.980 --> 00:06:44.040]   Pela mesma fé
[00:06:44.040 --> 00:06:44.640]   Que nós temos
[00:06:44.640 --> 00:06:46.300]   Paulo deixa isso muito claro
[00:06:46.300 --> 00:06:47.280]   Em Romanos capítulo 9
[00:06:47.280 --> 00:06:48.600]   A fé que nós temos
[00:06:48.600 --> 00:06:49.340]   É a mesma fé
[00:06:49.340 --> 00:06:49.980]   Que o nosso pai
[00:06:49.980 --> 00:06:51.020]   Abraão
[00:06:51.020 --> 00:06:52.200]   Uma fé que não depende
[00:06:52.200 --> 00:06:53.280]   De homens
[00:06:53.280 --> 00:06:55.120]   Agora o que mudou?
[00:06:55.120 --> 00:06:56.520]   Já expliquei sobre essa mudança
[00:06:56.520 --> 00:06:57.540]   Na antiga e para a nova linha
[00:06:57.540 --> 00:06:58.360]   Resumindo
[00:06:58.360 --> 00:06:59.020]   O que mudou
[00:06:59.020 --> 00:07:01.560]   Da salvação daqueles
[00:07:01.560 --> 00:07:02.540]   Que estavam antes
[00:07:02.540 --> 00:07:03.300]   Da vida de Cristo
[00:07:03.300 --> 00:07:03.800]   Para nós
[00:07:03.800 --> 00:07:04.640]   Que Cristo já veio
[00:07:04.640 --> 00:07:07.620]   Imagine o Senhor Jesus
[00:07:07.620 --> 00:07:08.760]   Como um advogado
[00:07:08.760 --> 00:07:10.300]   De Abraão
[00:07:10.300 --> 00:07:12.240]   Qual era o seu papel?
[00:07:12.240 --> 00:07:13.480]   O papel hoje
[00:07:13.480 --> 00:07:13.940]   É de dizer
[00:07:13.940 --> 00:07:15.100]   Para nós
[00:07:15.100 --> 00:07:15.420]   É de dizer
[00:07:15.420 --> 00:07:16.560]   Que nossos pecados
[00:07:16.560 --> 00:07:17.460]   Já foram perdoados
[00:07:17.460 --> 00:07:18.640]   E que ele cumpriu
[00:07:18.640 --> 00:07:19.520]   A lei em nosso lugar
[00:07:19.520 --> 00:07:20.820]   Mas e no caso de Abraão
[00:07:20.820 --> 00:07:21.400]   O que Jesus
[00:07:21.400 --> 00:07:22.260]   Como advogado
[00:07:22.260 --> 00:07:24.280]   Tinha diante do juiz
[00:07:24.280 --> 00:07:25.040]   Diante do padre?
[00:07:25.040 --> 00:07:27.300]   Abraão era acusado
[00:07:27.300 --> 00:07:28.040]   De nossos pecados
[00:07:28.040 --> 00:07:28.780]   Merecia a morte
[00:07:28.780 --> 00:07:29.860]   O que Jesus diz
[00:07:29.860 --> 00:07:31.480]   Eu vou pagar
[00:07:31.480 --> 00:07:33.080]   Hoje ele fala
[00:07:33.080 --> 00:07:33.640]   Que já pagou
[00:07:33.640 --> 00:07:35.520]   Mas no antigo testamento
[00:07:35.520 --> 00:07:36.680]   Havia promessa
[00:07:36.680 --> 00:07:37.760]   É como se ele fosse
[00:07:37.760 --> 00:07:38.260]   Um advogado
[00:07:38.260 --> 00:07:39.600]   E faz um crédito
[00:07:39.600 --> 00:07:40.380]   Para as linhas
[00:07:40.380 --> 00:07:41.840]   Pode salvá-lo
[00:07:41.840 --> 00:07:42.860]   Pode libertá-lo
[00:07:42.860 --> 00:07:43.780]   Porque eu
[00:07:43.780 --> 00:07:44.540]   Vou pagar
[00:07:44.540 --> 00:07:45.360]   Para os pecados
[00:07:45.360 --> 00:07:46.160]   De Abraão
[00:07:46.160 --> 00:07:47.480]   Porque eu
[00:07:47.480 --> 00:07:48.000]   Vou cumprir
[00:07:48.000 --> 00:07:49.560]   A lei do seu lugar
[00:07:49.560 --> 00:07:50.320]   Terceiro
[00:07:50.320 --> 00:07:50.920]   É uma promessa
[00:07:50.920 --> 00:07:51.840]   Daquilo que iria
[00:07:51.840 --> 00:07:52.880]   Acontecer
[00:07:52.880 --> 00:07:53.660]   E por isso
[00:07:53.660 --> 00:07:54.440]   Uma distinção
[00:07:54.440 --> 00:07:55.260]   Entre aquilo
[00:07:55.260 --> 00:07:56.180]   Que apontava
[00:07:56.180 --> 00:07:56.880]   Para o que Cristo
[00:07:56.880 --> 00:07:58.160]   Faria
[00:07:58.160 --> 00:07:59.320]   E hoje
[00:07:59.320 --> 00:08:00.760]   Nós não apontamos
[00:08:00.760 --> 00:08:01.640]   Mais o que ele parar
[00:08:01.640 --> 00:08:02.620]   Mas o que ele não fez
[00:08:02.620 --> 00:08:04.180]   Essa em resumo
[00:08:04.180 --> 00:08:06.420]   É a distinção
[00:08:06.420 --> 00:08:09.280]   Agora nessa mudança
[00:08:09.280 --> 00:08:11.640]   Aí entramos
[00:08:11.640 --> 00:08:13.140]   No ponto de maior discussão
[00:08:13.140 --> 00:08:14.980]   Qual que é a diferença
[00:08:14.980 --> 00:08:15.300]   Então
[00:08:15.300 --> 00:08:16.320]   Existem leis
[00:08:16.320 --> 00:08:16.960]   Que nós não temos
[00:08:16.960 --> 00:08:18.180]   Que cumprir mais
[00:08:18.180 --> 00:08:19.340]   Você lê o livro de Galas
[00:08:19.340 --> 00:08:19.660]   Por exemplo
[00:08:19.660 --> 00:08:20.700]   Você vai ver
[00:08:20.700 --> 00:08:21.300]   Falando
[00:08:21.300 --> 00:08:22.180]   Sobre
[00:08:22.180 --> 00:08:24.080]   Sobre não estar
[00:08:24.080 --> 00:08:25.140]   Mais debaixo da lei
[00:08:25.140 --> 00:08:26.260]   Se referindo ali
[00:08:26.260 --> 00:08:27.340]   Ao contexto da circuncisão
[00:08:27.340 --> 00:08:28.280]   Não é necessário mais
[00:08:28.280 --> 00:08:29.060]   A circuncisão
[00:08:29.060 --> 00:08:30.200]   Só debaixo da lei
[00:08:30.200 --> 00:08:31.060]   De Cristo
[00:08:31.060 --> 00:08:32.660]   O que isso significa?
[00:08:32.660 --> 00:08:33.200]   A gente não tem
[00:08:33.200 --> 00:08:33.700]   Que cumprir lei
[00:08:33.700 --> 00:08:34.200]   Mais nenhuma
[00:08:34.200 --> 00:08:35.340]   Agora só
[00:08:35.340 --> 00:08:36.680]   Não é isso
[00:08:36.680 --> 00:08:37.240]   Que isso acredita
[00:08:37.240 --> 00:08:38.480]   Estava claramente
[00:08:38.480 --> 00:08:39.300]   Associando ali
[00:08:39.300 --> 00:08:40.620]   Algumas exigências
[00:08:40.620 --> 00:08:41.060]   Da lei
[00:08:41.060 --> 00:08:42.340]   Que não tem mais sentido
[00:08:42.340 --> 00:08:42.740]   Por exemplo
[00:08:42.740 --> 00:08:43.500]   A circuncisão
[00:08:43.500 --> 00:08:45.140]   Tudo aquilo que apontava
[00:08:45.140 --> 00:08:45.820]   Para que Cristo
[00:08:45.820 --> 00:08:45.840]   Para que Cristo
[00:08:45.840 --> 00:08:46.320]   Paria
[00:08:46.320 --> 00:08:47.340]   Perdeu seu sentido
[00:08:47.340 --> 00:08:48.380]   Foi substituído
[00:08:48.380 --> 00:08:49.560]   Por algo melhor
[00:08:49.560 --> 00:08:51.120]   Esse inclusive
[00:08:51.120 --> 00:08:52.060]   É um dos grandes pontos
[00:08:52.060 --> 00:08:53.160]   Da carta dos hebreus
[00:08:53.160 --> 00:08:54.440]   Lá em Breus
[00:08:54.440 --> 00:08:55.720]   Voltou a mostrar
[00:08:55.720 --> 00:08:57.260]   Isso é muito importante
[00:08:57.260 --> 00:08:57.640]   Você entender
[00:08:57.640 --> 00:08:58.300]   Essa distinção
[00:08:58.300 --> 00:08:59.800]   Que
[00:08:59.800 --> 00:09:02.680]   Com a mudança
[00:09:02.680 --> 00:09:03.680]   A mudança
[00:09:03.680 --> 00:09:04.580]   Do sacerdote
[00:09:04.580 --> 00:09:06.000]   Muda-se também
[00:09:06.000 --> 00:09:07.040]   A lei
[00:09:07.040 --> 00:09:09.120]   Pense só
[00:09:09.120 --> 00:09:09.800]   Pense até
[00:09:09.800 --> 00:09:10.400]   Do próprio Jesus
[00:09:10.400 --> 00:09:11.560]   Como nosso sacerdote
[00:09:11.560 --> 00:09:12.740]   Todo mundo concorda
[00:09:12.740 --> 00:09:13.020]   Com isso
[00:09:13.020 --> 00:09:14.780]   Mas segundo a lei
[00:09:14.780 --> 00:09:15.340]   De Moisés
[00:09:15.340 --> 00:09:16.440]   Para ser sacerdote
[00:09:16.440 --> 00:09:17.040]   Tinha que ser
[00:09:17.040 --> 00:09:18.760]   Da descendência
[00:09:18.760 --> 00:09:19.120]   De Levi
[00:09:19.120 --> 00:09:19.880]   Filho de Levi
[00:09:19.880 --> 00:09:20.580]   Da tribo de Levi
[00:09:20.580 --> 00:09:21.500]   E da descendência
[00:09:21.500 --> 00:09:21.860]   De Arão
[00:09:21.860 --> 00:09:22.180]   Certo?
[00:09:22.180 --> 00:09:23.540]   Jesus não era
[00:09:23.540 --> 00:09:24.340]   Nenhum dos dois
[00:09:24.340 --> 00:09:25.520]   Ele era da tribo
[00:09:25.520 --> 00:09:25.960]   De Judá
[00:09:25.960 --> 00:09:26.620]   Como que ele pode
[00:09:26.620 --> 00:09:27.480]   Ser nosso sacerdote
[00:09:27.480 --> 00:09:28.780]   Porque ele é
[00:09:28.780 --> 00:09:29.460]   Um sacerdote
[00:09:29.460 --> 00:09:30.320]   De outra ordem
[00:09:30.320 --> 00:09:30.640]   Uma ordem
[00:09:30.640 --> 00:09:31.180]   É superior
[00:09:31.180 --> 00:09:32.400]   E
[00:09:32.400 --> 00:09:33.220]   O que eu estou
[00:09:33.220 --> 00:09:33.780]   Querendo mostrar
[00:09:33.780 --> 00:09:34.040]   Para vocês
[00:09:34.040 --> 00:09:34.780]   É que as coisas
[00:09:34.780 --> 00:09:36.600]   As regras do jogo
[00:09:36.600 --> 00:09:37.340]   Elas mudam
[00:09:37.340 --> 00:09:38.920]   Elas mudam
[00:09:38.920 --> 00:09:40.780]   Com o novo sacerdote
[00:09:40.780 --> 00:09:41.780]   Que nós temos agora
[00:09:41.780 --> 00:09:43.240]   Em Cristo Jesus
[00:09:43.240 --> 00:09:44.880]   Mas a grande questão é
[00:09:44.880 --> 00:09:47.320]   Muda de uma forma completa
[00:09:47.320 --> 00:09:48.960]   Tudo que estava passado
[00:09:48.960 --> 00:09:49.740]   A gente deixa para lá
[00:09:49.740 --> 00:09:50.400]   Ou não
[00:09:50.400 --> 00:09:51.840]   Nós acreditamos que não
[00:09:51.840 --> 00:09:53.300]   Agora o que muda?
[00:09:53.300 --> 00:09:55.180]   Quais leis
[00:09:55.180 --> 00:09:56.740]   Circuncisão
[00:09:56.740 --> 00:09:58.560]   Usar roupa com dois
[00:09:58.560 --> 00:09:59.760]   Desses diferentes
[00:09:59.760 --> 00:10:01.360]   Isso não tem mais obrigação
[00:10:01.360 --> 00:10:02.260]   Mas por que que
[00:10:02.260 --> 00:10:03.620]   Essa e essa e essa outra lei
[00:10:03.620 --> 00:10:04.580]   Tem algum valor?
[00:10:04.580 --> 00:10:06.220]   Como explicar isso?
[00:10:06.220 --> 00:10:07.720]   E aí
[00:10:07.720 --> 00:10:08.840]   Que eu entro no que
[00:10:08.840 --> 00:10:10.300]   É uma resposta
[00:10:10.300 --> 00:10:11.540]   Que a nossa confissão dá
[00:10:11.540 --> 00:10:13.000]   Que é uma divisão
[00:10:13.000 --> 00:10:13.920]   Que só se chama
[00:10:13.920 --> 00:10:15.000]   Divisão tripartista
[00:10:15.000 --> 00:10:15.940]   Não é como falar da lei?
[00:10:15.940 --> 00:10:19.480]   Apesar da nossa confissão
[00:10:19.480 --> 00:10:19.860]   Não entender
[00:10:19.860 --> 00:10:20.880]   Isso é anterior
[00:10:20.880 --> 00:10:22.080]   Mas que
[00:10:22.080 --> 00:10:23.260]   Até Tomás de Aquino
[00:10:23.260 --> 00:10:24.520]   Já falava sobre essa divisão
[00:10:24.520 --> 00:10:25.480]   Vocês já devem ter ouvido falar
[00:10:25.480 --> 00:10:26.500]   A divisão da lei
[00:10:26.500 --> 00:10:28.180]   Entre uma lei moral
[00:10:28.180 --> 00:10:30.620]   Civil
[00:10:30.620 --> 00:10:33.480]   E ceremonial
[00:10:33.480 --> 00:10:34.820]   Já ouviu falar sobre isso, né?
[00:10:34.820 --> 00:10:38.100]   Enfim, essa
[00:10:38.100 --> 00:10:39.800]   Não é uma distinção
[00:10:39.800 --> 00:10:41.680]   Ou uma divisão
[00:10:41.680 --> 00:10:43.940]   Estritamente bíblica
[00:10:43.940 --> 00:10:45.200]   No sentido que você vai encontrar
