
[00:00:00.000 --> 00:00:00.440]   Música
[00:04:23.400 --> 00:04:24.040]   que sim,
[00:04:24.040 --> 00:04:25.400]   a vida é prazerosa,
[00:04:25.400 --> 00:04:26.340]   sim,
[00:04:26.340 --> 00:04:27.440]   a vida é bela,
[00:04:27.440 --> 00:04:28.520]   apesar
[00:04:28.520 --> 00:04:30.140]   dos pesares.
[00:04:30.140 --> 00:04:32.420]   Mas para podermos
[00:04:32.420 --> 00:04:32.980]   compreender
[00:04:32.980 --> 00:04:33.780]   que a vida é bela
[00:04:33.780 --> 00:04:34.620]   debaixo do sol,
[00:04:34.620 --> 00:04:35.620]   é necessário
[00:04:35.620 --> 00:04:36.360]   que os nossos olhos
[00:04:36.360 --> 00:04:37.440]   estejam sempre
[00:04:37.440 --> 00:04:38.720]   voltados
[00:04:38.720 --> 00:04:39.720]   para aquele
[00:04:39.720 --> 00:04:41.360]   que está acima do sol,
[00:04:41.360 --> 00:04:43.400]   o nosso Deus.
[00:04:43.400 --> 00:04:45.600]   E nós vimos
[00:04:45.600 --> 00:04:46.480]   no sermão anterior
[00:04:46.480 --> 00:04:47.940]   que o capítulo
[00:04:47.940 --> 00:04:48.640]   de número 3
[00:04:48.640 --> 00:04:50.020]   é uma extensão
[00:04:50.020 --> 00:04:51.240]   e continuidade
[00:04:51.240 --> 00:04:52.920]   desta perspectiva
[00:04:52.920 --> 00:04:53.580]   otimista
[00:04:53.580 --> 00:04:54.640]   de Salomão.
[00:04:54.640 --> 00:04:57.260]   E quero dizer
[00:04:57.260 --> 00:04:57.660]   uma coisa
[00:04:57.660 --> 00:04:58.280]   para vocês,
[00:04:58.280 --> 00:04:59.340]   ao meu ver,
[00:04:59.340 --> 00:05:00.520]   o capítulo 3
[00:05:00.520 --> 00:05:01.240]   de Eclesiastes
[00:05:01.240 --> 00:05:02.560]   não é somente
[00:05:02.560 --> 00:05:03.440]   um dos versos
[00:05:03.440 --> 00:05:05.640]   mais belos
[00:05:05.640 --> 00:05:06.320]   da Bíblia,
[00:05:06.320 --> 00:05:08.220]   mas da literatura mundial.
[00:05:09.860 --> 00:05:10.860]   por isso que eu disse
[00:05:10.860 --> 00:05:11.540]   no último sermão
[00:05:11.540 --> 00:05:13.040]   porque esse texto
[00:05:13.040 --> 00:05:13.840]   traz um certo
[00:05:13.840 --> 00:05:15.540]   temor
[00:05:15.540 --> 00:05:16.340]   para o pregador,
[00:05:16.340 --> 00:05:18.080]   porque o pregador
[00:05:18.080 --> 00:05:19.040]   é pequeno demais
[00:05:19.040 --> 00:05:20.740]   e o texto
[00:05:20.740 --> 00:05:22.400]   é grande demais,
[00:05:22.400 --> 00:05:25.000]   é precioso demais,
[00:05:25.000 --> 00:05:26.460]   é um tesouro
[00:05:26.460 --> 00:05:27.760]   que não parece acabar.
[00:05:27.760 --> 00:05:29.620]   Você cava e cava
[00:05:29.620 --> 00:05:30.620]   e lá encontra
[00:05:30.620 --> 00:05:31.760]   mais uma moeda,
[00:05:31.760 --> 00:05:33.060]   mais uma moeda
[00:05:33.060 --> 00:05:34.000]   e mais uma.
[00:05:34.000 --> 00:05:35.560]   E o que Salomão
[00:05:35.560 --> 00:05:36.220]   quer nos ensinar
[00:05:36.220 --> 00:05:36.820]   aqui no capítulo
[00:05:36.820 --> 00:05:37.440]   de número 3?
[00:05:37.440 --> 00:05:39.340]   Dando continuidade
[00:05:39.340 --> 00:05:40.180]   a essa perspectiva
[00:05:40.180 --> 00:05:40.720]   otimista,
[00:05:40.720 --> 00:05:41.720]   ele nos ensina
[00:05:41.720 --> 00:05:42.880]   logo no primeiro versículo
[00:05:42.880 --> 00:05:44.560]   que tudo
[00:05:44.560 --> 00:05:46.800]   foi determinado
[00:05:46.800 --> 00:05:47.980]   por Deus.
[00:05:47.980 --> 00:05:50.700]   Tudo bem estabelecido,
[00:05:50.700 --> 00:05:51.780]   decretado,
[00:05:51.780 --> 00:05:53.340]   nada fora do lugar,
[00:05:53.340 --> 00:05:54.960]   nada falta,
[00:05:54.960 --> 00:05:56.420]   nada sobra.
[00:05:57.300 --> 00:05:58.680]   Deus é o criador
[00:05:58.680 --> 00:06:00.000]   e o sustentador
[00:06:00.000 --> 00:06:02.300]   de todas as coisas.
[00:06:02.300 --> 00:06:03.460]   Nesse sentido,
[00:06:03.460 --> 00:06:04.020]   portanto,
[00:06:04.020 --> 00:06:05.660]   não existe acaso
[00:06:05.660 --> 00:06:06.340]   ou sorte
[00:06:06.340 --> 00:06:06.980]   ou fado
[00:06:06.980 --> 00:06:08.540]   ou roda da fortuna
[00:06:08.540 --> 00:06:09.220]   ou sina,
[00:06:09.220 --> 00:06:11.020]   tudo está
[00:06:11.020 --> 00:06:12.020]   no controle
[00:06:12.020 --> 00:06:12.820]   de Deus.
[00:06:12.820 --> 00:06:13.560]   Até mesmo
[00:06:13.560 --> 00:06:14.160]   aquelas coisas
[00:06:14.160 --> 00:06:14.860]   que consideramos
[00:06:14.860 --> 00:06:15.540]   aleatórias
[00:06:15.540 --> 00:06:16.520]   ou randômicas
[00:06:16.520 --> 00:06:17.980]   como um jogar de dados.
[00:06:17.980 --> 00:06:18.740]   A decisão
[00:06:18.740 --> 00:06:19.500]   pertence ao Senhor.
[00:06:19.500 --> 00:06:21.640]   Esse é o primeiro princípio.
[00:06:21.640 --> 00:06:22.540]   Mas há também
[00:06:22.540 --> 00:06:23.380]   mais um princípio
[00:06:23.380 --> 00:06:24.360]   logo no primeiro versículo.
[00:06:24.360 --> 00:06:25.820]   Não somente
[00:06:25.820 --> 00:06:26.600]   todas as coisas
[00:06:26.600 --> 00:06:27.460]   foram determinadas
[00:06:27.460 --> 00:06:28.160]   por Deus.
[00:06:28.160 --> 00:06:30.520]   Mas existe um plano,
[00:06:30.520 --> 00:06:33.020]   existe um projeto.
[00:06:33.020 --> 00:06:35.540]   Deus é perfeito
[00:06:35.540 --> 00:06:37.220]   e as suas obras
[00:06:37.220 --> 00:06:38.180]   são perfeitas.
[00:06:38.180 --> 00:06:40.260]   Este plano
[00:06:40.260 --> 00:06:41.740]   revela a grandeza
[00:06:41.740 --> 00:06:42.720]   e a beleza
[00:06:42.720 --> 00:06:43.900]   e a bondade
[00:06:43.900 --> 00:06:45.000]   e a justiça
[00:06:45.000 --> 00:06:46.020]   quem Deus é.
[00:06:46.020 --> 00:06:48.780]   Salomão
[00:06:48.780 --> 00:06:49.600]   quer nos ensinar
[00:06:49.600 --> 00:06:50.240]   isto
[00:06:50.240 --> 00:06:51.700]   logo no primeiro versículo
[00:06:51.700 --> 00:06:52.460]   para que isso
[00:06:52.460 --> 00:06:53.540]   sirva de baliza
[00:06:53.540 --> 00:06:54.860]   para o restante
[00:06:54.860 --> 00:06:55.960]   do capítulo.
[00:06:55.960 --> 00:06:58.500]   mas nós precisamos
[00:06:58.500 --> 00:06:59.140]   lembrar de mais
[00:06:59.140 --> 00:06:59.780]   algumas coisas
[00:06:59.780 --> 00:07:00.380]   que nós vimos
[00:07:00.380 --> 00:07:01.380]   no sermão anterior.
[00:07:01.380 --> 00:07:03.980]   Nós vimos que
[00:07:03.980 --> 00:07:05.740]   Deus criou
[00:07:05.740 --> 00:07:06.600]   todas as coisas
[00:07:06.600 --> 00:07:07.300]   em um plano
[00:07:07.300 --> 00:07:08.100]   majestoso
[00:07:08.100 --> 00:07:11.920]   e também o pecado
[00:07:11.920 --> 00:07:13.080]   entrou na história
[00:07:13.080 --> 00:07:13.700]   humana
[00:07:13.700 --> 00:07:15.300]   trazendo certas
[00:07:15.300 --> 00:07:16.040]   antíteses,
[00:07:16.040 --> 00:07:17.960]   certas contradições
[00:07:17.960 --> 00:07:20.960]   que deformam a realidade
[00:07:20.960 --> 00:07:21.500]   criada.
[00:07:21.500 --> 00:07:24.500]   Certas antíteses
[00:07:24.500 --> 00:07:25.320]   e contradições
[00:07:25.320 --> 00:07:25.740]   que trazem
[00:07:25.740 --> 00:07:26.500]   um certo desconforto,
[00:07:26.500 --> 00:07:28.820]   uma certa tristeza,
[00:07:28.820 --> 00:07:30.320]   uma certa angústia
[00:07:30.320 --> 00:07:31.260]   para o nosso coração
[00:07:31.260 --> 00:07:33.400]   e para a nossa alma.
[00:07:34.760 --> 00:07:36.400]   mas não podemos esquecer
[00:07:36.400 --> 00:07:39.460]   que todas estas coisas
[00:07:39.460 --> 00:07:41.120]   inclusive as antíteses
[00:07:41.120 --> 00:07:42.160]   e as contradições
[00:07:42.160 --> 00:07:43.640]   fazem parte
[00:07:43.640 --> 00:07:44.700]   do plano
[00:07:44.700 --> 00:07:45.860]   maravilhoso
[00:07:45.860 --> 00:07:46.860]   de Deus.
[00:07:46.860 --> 00:07:49.060]   E um dia
[00:07:49.060 --> 00:07:51.300]   todos estes tempos
[00:07:51.300 --> 00:07:51.920]   que parecem
[00:07:51.920 --> 00:07:52.760]   contraditórios
[00:07:52.760 --> 00:07:54.500]   serão dissolvidos
[00:07:54.500 --> 00:07:55.380]   em um só tempo,
[00:07:55.380 --> 00:07:56.420]   o tempo
[00:07:56.420 --> 00:07:56.940]   da vida
[00:07:56.940 --> 00:07:57.500]   feliz
[00:07:57.500 --> 00:07:58.780]   no seio
[00:07:58.780 --> 00:07:59.880]   do amado.
[00:08:00.680 --> 00:08:01.460]   quando o Senhor
[00:08:01.460 --> 00:08:02.080]   Jesus Cristo
[00:08:02.080 --> 00:08:02.660]   voltar
[00:08:02.660 --> 00:08:04.480]   e então
[00:08:04.480 --> 00:08:05.720]   teremos novos céus
[00:08:05.720 --> 00:08:07.340]   e nova terra.
[00:08:07.340 --> 00:08:10.260]   Vida maravilhosa,
[00:08:10.260 --> 00:08:11.880]   vida eterna
[00:08:11.880 --> 00:08:13.360]   diante do nosso
[00:08:13.360 --> 00:08:13.960]   Criador
[00:08:13.960 --> 00:08:15.380]   e Ele será
[00:08:15.380 --> 00:08:16.700]   tudo em nós
[00:08:16.700 --> 00:08:19.020]   e que este dia
[00:08:19.020 --> 00:08:19.760]   chegue logo
[00:08:19.760 --> 00:08:21.900]   mas enquanto
[00:08:21.900 --> 00:08:22.360]   o artista
[00:08:22.360 --> 00:08:22.920]   não volta
[00:08:22.920 --> 00:08:23.720]   para completar
[00:08:23.720 --> 00:08:24.320]   a sua obra
[00:08:24.320 --> 00:08:26.920]   enquanto o poeta
[00:08:26.920 --> 00:08:27.780]   não volta
[00:08:27.780 --> 00:08:28.400]   para cantar
[00:08:28.400 --> 00:08:29.240]   o último cântico
[00:08:29.240 --> 00:08:31.900]   precisamos lembrar
[00:08:31.900 --> 00:08:34.060]   jamais esquecer
[00:08:34.060 --> 00:08:36.760]   que debaixo do sol
[00:08:36.760 --> 00:08:38.380]   há tempo
[00:08:38.380 --> 00:08:38.980]   de nascer
[00:08:38.980 --> 00:08:40.840]   e há tempo
[00:08:40.840 --> 00:08:41.340]   de morrer
[00:08:41.340 --> 00:08:42.980]   e há tempo
[00:08:42.980 --> 00:08:43.800]   de plantar
[00:08:43.800 --> 00:08:45.380]   e há tempo
[00:08:45.380 --> 00:08:46.080]   de arrancar
[00:08:46.080 --> 00:08:47.300]   aquilo que se plantou
[00:08:47.300 --> 00:08:49.280]   e aqui que começa
[00:08:49.280 --> 00:08:51.100]   propriamente dito
[00:08:51.100 --> 00:08:52.820]   a nossa meditação
[00:08:52.820 --> 00:08:53.880]   vamos ler
[00:08:53.880 --> 00:08:54.680]   mais uma vez
[00:08:54.680 --> 00:08:56.400]   o verso 2
[00:08:56.400 --> 00:08:57.840]   parte B
[00:08:57.840 --> 00:08:59.620]   tempo
[00:08:59.620 --> 00:09:00.400]   de plantar
[00:09:00.400 --> 00:09:02.080]   e tempo
[00:09:02.080 --> 00:09:02.540]   de arrancar
[00:09:02.540 --> 00:09:03.360]   o que se plantou
[00:09:03.360 --> 00:09:12.480]   penso eu
[00:09:12.480 --> 00:09:13.420]   não sei vocês
[00:09:13.420 --> 00:09:16.300]   que Salomão
[00:09:16.300 --> 00:09:17.460]   não quer nos ensinar
[00:09:17.460 --> 00:09:18.480]   apenas princípios
[00:09:18.480 --> 00:09:19.700]   básicos de agricultura
[00:09:19.700 --> 00:09:21.920]   Salomão
[00:09:21.920 --> 00:09:23.420]   parte de experiências
[00:09:23.420 --> 00:09:24.920]   comuns
[00:09:24.920 --> 00:09:25.840]   da comunidade
[00:09:25.840 --> 00:09:26.360]   de Israel
[00:09:26.360 --> 00:09:28.020]   para nos ensinar
[00:09:28.020 --> 00:09:29.140]   realidades superiores
[00:09:29.140 --> 00:09:30.900]   parte de coisas
[00:09:30.900 --> 00:09:31.440]   simples
[00:09:31.440 --> 00:09:32.760]   para nos ensinar
[00:09:32.760 --> 00:09:33.840]   coisas ainda mais
[00:09:33.840 --> 00:09:34.720]   profundas
[00:09:34.720 --> 00:09:35.660]   e belas
[00:09:35.660 --> 00:09:37.180]   eu gostaria
[00:09:37.180 --> 00:09:37.740]   de compartilhar
[00:09:37.740 --> 00:09:38.300]   com vocês
[00:09:38.300 --> 00:09:40.100]   quando você olha
[00:09:40.100 --> 00:09:40.640]   para o texto
[00:09:40.640 --> 00:09:41.780]   você percebe claramente
[00:09:41.780 --> 00:09:42.200]   que nós temos
[00:09:42.200 --> 00:09:43.000]   dois tempos
[00:09:43.000 --> 00:09:44.460]   um tempo
[00:09:44.460 --> 00:09:45.160]   onde eu realizo
[00:09:45.160 --> 00:09:46.060]   uma determinada ação
[00:09:46.060 --> 00:09:46.500]   que é
[00:09:46.500 --> 00:09:47.820]   plantar
[00:09:47.820 --> 00:09:49.320]   e um outro
[00:09:49.320 --> 00:09:49.760]   tempo
[00:09:49.760 --> 00:09:50.860]   onde eu realizo
[00:09:50.860 --> 00:09:52.080]   uma outra ação
[00:09:52.080 --> 00:09:52.820]   que é consequência
[00:09:52.820 --> 00:09:53.320]   da primeira
[00:09:53.320 --> 00:09:54.940]   arrancar
[00:09:54.940 --> 00:09:56.880]   ou colher
[00:09:56.880 --> 00:09:58.120]   aquilo que eu
[00:09:58.120 --> 00:09:59.680]   plantei
[00:09:59.680 --> 00:10:01.460]   muito óbvio
[00:10:01.460 --> 00:10:01.640]   né
[00:10:01.640 --> 00:10:03.240]   talvez você
[00:10:03.240 --> 00:10:04.500]   está se perguntando
[00:10:04.500 --> 00:10:04.780]   Lucas
[00:10:04.780 --> 00:10:05.640]   isso é óbvio demais
[00:10:05.640 --> 00:10:06.680]   não precisa ser explicado
[00:10:06.680 --> 00:10:08.260]   mas muitas vezes
[00:10:08.260 --> 00:10:09.520]   o óbvio
[00:10:09.520 --> 00:10:10.980]   precisa ser explicado
[00:10:10.980 --> 00:10:12.340]   pois temos o costume
[00:10:12.340 --> 00:10:13.160]   e a habilidade
[00:10:13.160 --> 00:10:14.600]   de banalizar
[00:10:14.600 --> 00:10:16.020]   aquilo que é óbvio
[00:10:16.020 --> 00:10:17.220]   e quero então
[00:10:17.220 --> 00:10:18.940]   tirar desse verso
[00:10:18.940 --> 00:10:19.320]   ou melhor
[00:10:19.320 --> 00:10:20.360]   parte desse verso
[00:10:20.360 --> 00:10:21.440]   duas lições
[00:10:21.440 --> 00:10:22.020]   para nós
[00:10:22.020 --> 00:10:23.360]   pelo menos duas
[00:10:23.360 --> 00:10:25.020]   e a primeira delas
[00:10:25.020 --> 00:10:25.340]   cabe
[00:10:25.340 --> 00:10:26.760]   perfeitamente
[00:10:26.760 --> 00:10:27.460]   em nosso tempo
[00:10:27.460 --> 00:10:29.440]   será que nós
[00:10:29.440 --> 00:10:29.920]   realmente
[00:10:29.920 --> 00:10:31.240]   temos discernimento
[00:10:31.240 --> 00:10:32.060]   em relação
[00:10:32.060 --> 00:10:32.500]   ao tempo
[00:10:32.500 --> 00:10:33.220]   de plantar
[00:10:33.220 --> 00:10:34.600]   e em relação
[00:10:34.600 --> 00:10:35.220]   ao tempo
[00:10:35.220 --> 00:10:35.780]   de arrancar
[00:10:35.780 --> 00:10:36.440]   ou de colher
[00:10:36.440 --> 00:10:38.100]   vivemos
[00:10:38.100 --> 00:10:39.040]   em uma esfera
[00:10:39.040 --> 00:10:39.640]   em uma sociedade
[00:10:39.640 --> 00:10:41.460]   tão imediatista
[00:10:41.460 --> 00:10:42.940]   onde a filosofia
[00:10:42.940 --> 00:10:43.420]   do momento
[00:10:43.420 --> 00:10:44.300]   é o agora
[00:10:44.300 --> 00:10:45.500]   ou melhor
[00:10:45.500 --> 00:10:46.020]   o ontem
[00:10:46.020 --> 00:10:46.880]   porque o hoje
[00:10:46.880 --> 00:10:47.960]   já passou
[00:10:47.960 --> 00:10:49.460]   eu quero agora
[00:10:49.460 --> 00:10:51.520]   onde as pessoas
[00:10:51.520 --> 00:10:52.280]   querem na verdade
[00:10:52.280 --> 00:10:53.280]   o ápice da vida
[00:10:53.280 --> 00:10:54.320]   com 30 anos
[00:10:54.320 --> 00:10:55.400]   não mais do que isso
[00:10:55.400 --> 00:10:57.540]   será que temos
[00:10:57.540 --> 00:10:58.260]   realmente
[00:10:58.260 --> 00:10:59.780]   discernido o tempo
[00:10:59.780 --> 00:11:01.900]   será que talvez
[00:11:01.900 --> 00:11:02.440]   ao invés
[00:11:02.440 --> 00:11:03.560]   de plantarmos
[00:11:03.560 --> 00:11:04.480]   estamos querendo
[00:11:04.480 --> 00:11:05.280]   arrancar
[00:11:05.280 --> 00:11:06.640]   estamos querendo
[00:11:06.640 --> 00:11:07.980]   colher
[00:11:07.980 --> 00:11:09.380]   sendo que não
[00:11:09.380 --> 00:11:09.900]   é o tempo
[00:11:09.900 --> 00:11:10.480]   de colher
[00:11:10.480 --> 00:11:11.840]   sendo que não
[00:11:11.840 --> 00:11:12.340]   é o tempo
[00:11:12.340 --> 00:11:12.940]   de arrancar
[00:11:12.940 --> 00:11:15.380]   irmãos
[00:11:15.380 --> 00:11:16.360]   prestem atenção
[00:11:16.360 --> 00:11:18.840]   pequenas empresas
[00:11:18.840 --> 00:11:19.540]   não se tornam
[00:11:19.540 --> 00:11:20.280]   multinacionais
[00:11:20.280 --> 00:11:20.620]   da noite
[00:11:20.620 --> 00:11:21.160]   para o dia
[00:11:21.160 --> 00:11:23.580]   conhecimento
[00:11:23.580 --> 00:11:24.220]   não é uma coisa
[00:11:24.220 --> 00:11:24.760]   que eu adquiro
[00:11:24.760 --> 00:11:25.700]   com um ou dois anos
[00:11:25.700 --> 00:11:26.380]   às vezes
[00:11:26.380 --> 00:11:27.000]   leva uma vida
[00:11:27.000 --> 00:11:27.560]   inteira
[00:11:27.560 --> 00:11:29.560]   o sonho
[00:11:29.560 --> 00:11:30.320]   da casa própria
[00:11:30.320 --> 00:11:30.800]   não vai ser
[00:11:30.800 --> 00:11:31.860]   daqui a alguns meses
[00:11:31.860 --> 00:11:33.240]   às vezes
[00:11:33.240 --> 00:11:34.280]   décadas
[00:11:34.280 --> 00:11:36.740]   mas nós
[00:11:36.740 --> 00:11:37.700]   queremos agora
[00:11:37.700 --> 00:11:39.880]   eu quero agora
[00:11:39.880 --> 00:11:40.640]   não eu não tenho
[00:11:40.640 --> 00:11:41.060]   tempo
[00:11:41.060 --> 00:11:42.200]   e sabe qual é o problema
[00:11:42.200 --> 00:11:43.000]   dessa mentalidade
[00:11:43.000 --> 00:11:44.020]   muitas pessoas
[00:11:44.020 --> 00:11:44.660]   têm ficado
[00:11:44.660 --> 00:11:45.820]   desanimadas
[00:11:45.820 --> 00:11:46.900]   angustiadas
[00:11:46.900 --> 00:11:47.960]   frustradas
[00:11:47.960 --> 00:11:49.360]   desamparadas
[00:11:49.360 --> 00:11:50.100]   e até mesmo
[00:11:50.100 --> 00:11:50.940]   revoltadas
[00:11:50.940 --> 00:11:52.520]   porque queriam agora
[00:11:52.520 --> 00:11:54.180]   mas não podem ter agora
[00:11:54.180 --> 00:11:56.300]   entretanto
[00:11:56.300 --> 00:11:57.860]   para vivermos
[00:11:57.860 --> 00:11:58.460]   uma boa vida
[00:11:58.460 --> 00:11:59.240]   debaixo do sol
[00:11:59.240 --> 00:12:01.780]   não podemos esquecer
[00:12:01.780 --> 00:12:03.420]   há um tempo
[00:12:03.420 --> 00:12:04.360]   para plantar
[00:12:04.360 --> 00:12:06.420]   e existe um tempo
[00:12:06.420 --> 00:12:07.400]   para colher
[00:12:07.400 --> 00:12:09.360]   e precisamos
[00:12:09.360 --> 00:12:10.400]   ficar atentos
[00:12:10.400 --> 00:12:11.560]   a estas coisas
[00:12:11.560 --> 00:12:13.080]   e eu pergunto
[00:12:13.080 --> 00:12:13.960]   para todos nós
[00:12:13.960 --> 00:12:15.640]   qual é
[00:12:15.640 --> 00:12:16.920]   o nosso tempo
[00:12:16.920 --> 00:12:19.960]   talvez o tempo
[00:12:19.960 --> 00:12:20.320]   agora
[00:12:20.320 --> 00:12:20.720]   é de criar
[00:12:20.720 --> 00:12:21.780]   calos nas mãos
